date,region,price
1992-08-03,Gulf Coast,1.117
1992-08-03,Midwest,1.085
1992-08-03,Rocky Mountain,1.189
1992-08-03,U.S. Average,1.126
1992-08-03,West Coast,1.263
1992-08-10,East Coast,1.115
1992-08-10,Gulf Coast,1.116
1992-08-10,Midwest,1.08
1992-08-10,Rocky Mountain,1.187
1992-08-10,U.S. Average,1.123
1992-08-10,West Coast,1.261
1992-08-17,East Coast,1.111
1992-08-17,Gulf Coast,1.113
1992-08-17,Midwest,1.068
1992-08-17,Rocky Mountain,1.18
1992-08-17,U.S. Average,1.116
1992-08-17,West Coast,1.254
1992-08-24,East Coast,1.109
1992-08-24,Gulf Coast,1.108
1992-08-24,Midwest,1.089
1992-08-24,Rocky Mountain,1.213
1992-08-24,U.S. Average,1.123
1992-08-24,West Coast,1.247
1992-08-31,East Coast,1.106
1992-08-31,Gulf Coast,1.109
1992-08-31,Midwest,1.091
1992-08-31,Rocky Mountain,1.203
1992-08-31,U.S. Average,1.121
1992-08-31,West Coast,1.245
1992-09-07,East Coast,1.104
1992-09-07,Gulf Coast,1.114
1992-09-07,Midwest,1.091
1992-09-07,Rocky Mountain,1.202
1992-09-07,U.S. Average,1.121
1992-09-07,West Coast,1.239
1992-09-14,East Coast,1.103
1992-09-14,Gulf Coast,1.109
1992-09-14,Midwest,1.101
1992-09-14,Rocky Mountain,1.188
1992-09-14,U.S. Average,1.124
1992-09-14,West Coast,1.24
1992-09-21,East Coast,1.102
1992-09-21,Gulf Coast,1.105
1992-09-21,Midwest,1.104
1992-09-21,Rocky Mountain,1.178
1992-09-21,U.S. Average,1.123
1992-09-21,West Coast,1.236
1992-09-28,East Coast,1.098
1992-09-28,Gulf Coast,1.102
1992-09-28,Midwest,1.097
1992-09-28,Rocky Mountain,1.173
1992-09-28,U.S. Average,1.118
1992-09-28,West Coast,1.237
1992-10-05,East Coast,1.098
1992-10-05,Gulf Coast,1.097
1992-10-05,Midwest,1.091
1992-10-05,Rocky Mountain,1.167
1992-10-05,U.S. Average,1.115
1992-10-05,West Coast,1.224
1992-10-12,East Coast,1.097
1992-10-12,Gulf Coast,1.097
1992-10-12,Midwest,1.093
1992-10-12,Rocky Mountain,1.183
1992-10-12,U.S. Average,1.115
1992-10-12,West Coast,1.229
1992-10-19,East Coast,1.098
1992-10-19,Gulf Coast,1.094
1992-10-19,Midwest,1.087
1992-10-19,Rocky Mountain,1.177
1992-10-19,U.S. Average,1.113
1992-10-19,West Coast,1.233
1992-10-26,East Coast,1.098
1992-10-26,Gulf Coast,1.093
1992-10-26,Midwest,1.088
1992-10-26,Rocky Mountain,1.158
1992-10-26,U.S. Average,1.113
1992-10-26,West Coast,1.235
1992-11-02,East Coast,1.1
1992-11-02,Gulf Coast,1.096
1992-11-02,Midwest,1.096
1992-11-02,Rocky Mountain,1.206
1992-11-02,U.S. Average,1.12
1992-11-02,West Coast,1.245
1992-11-09,East Coast,1.103
1992-11-09,Gulf Coast,1.096
1992-11-09,Midwest,1.093
1992-11-09,Rocky Mountain,1.195
1992-11-09,U.S. Average,1.12
1992-11-09,West Coast,1.248
1992-11-16,East Coast,1.099
1992-11-16,Gulf Coast,1.092
1992-11-16,Midwest,1.079
1992-11-16,Rocky Mountain,1.182
1992-11-16,U.S. Average,1.112
1992-11-16,West Coast,1.246
1992-11-23,East Coast,1.097
1992-11-23,Gulf Coast,1.086
1992-11-23,Midwest,1.069
1992-11-23,Rocky Mountain,1.171
1992-11-23,U.S. Average,1.106
1992-11-23,West Coast,1.242
1992-11-30,East Coast,1.093
1992-11-30,Gulf Coast,1.083
1992-11-30,Midwest,1.056
1992-11-30,Rocky Mountain,1.157
1992-11-30,U.S. Average,1.098
1992-11-30,West Coast,1.237
1992-12-07,East Coast,1.088
1992-12-07,Gulf Coast,1.075
1992-12-07,Midwest,1.043
1992-12-07,Rocky Mountain,1.149
1992-12-07,U.S. Average,1.089
1992-12-07,West Coast,1.23
1992-12-14,East Coast,1.082
1992-12-14,Gulf Coast,1.068
1992-12-14,Midwest,1.025
1992-12-14,Rocky Mountain,1.136
1992-12-14,U.S. Average,1.078
1992-12-14,West Coast,1.222
1992-12-21,East Coast,1.075
1992-12-21,Gulf Coast,1.063
1992-12-21,Midwest,1.025
1992-12-21,Rocky Mountain,1.127
1992-12-21,U.S. Average,1.074
1992-12-21,West Coast,1.218
1992-12-28,East Coast,1.072
1992-12-28,Gulf Coast,1.059
1992-12-28,Midwest,1.018
1992-12-28,Rocky Mountain,1.117
1992-12-28,U.S. Average,1.069
1992-12-28,West Coast,1.214
1993-01-04,East Coast,1.067
1993-01-04,Gulf Coast,1.057
1993-01-04,Midwest,1.014
1993-01-04,Rocky Mountain,1.105
1993-01-04,U.S. Average,1.065
1993-01-04,West Coast,1.21
1993-01-11,East Coast,1.061
1993-01-11,Gulf Coast,1.057
1993-01-11,Midwest,1.024
1993-01-11,Rocky Mountain,1.092
1993-01-11,U.S. Average,1.066
1993-01-11,West Coast,1.209
1993-01-18,East Coast,1.054
1993-01-18,Gulf Coast,1.05
1993-01-18,Midwest,1.02
1993-01-18,Rocky Mountain,1.076
1993-01-18,U.S. Average,1.061
1993-01-18,West Coast,1.211
