model,MAE,MSE,RMSE,R2,MAPE
Linear Regression,0.06136205731993761,0.007920115570622003,0.08899503115692473,0.968552426199617,1.8971758000535606
Random Forest,0.06722062867647607,0.00885920340093679,0.09412334142462639,0.9648236884576568,2.041877468701602
